"Статус","Количество"
"Draft","46"
"Total","217"
"Active","34"
"Accepted","22"
"Final","115"
"Provisional","1"
"Draft","46"
"Total","218"
"Active","34"
"Accepted","22"
"Final","116"
"Provisional","1"
"Draft","46"
"Total","219"
"Active","34"
"Accepted","22"
"Final","117"
"Provisional","1"
"Draft","46"
"Total","220"
"Active","34"
"Accepted","22"
"Final","118"
"Provisional","1"
"Draft","46"
"Total","221"
"Active","34"
"Accepted","22"
"Final","119"
"Provisional","1"
"Draft","46"
"Total","222"
"Active","34"
"Accepted","22"
"Final","120"
"Provisional","1"
"Draft","46"
"Total","223"
"Active","34"
"Accepted","22"
"Final","121"
"Provisional","1"
"Draft","46"
"Total","224"
"Active","34"
"Accepted","22"
"Final","122"
"Provisional","1"
"Draft","46"
"Total","225"
"Active","34"
"Accepted","22"
"Final","123"
"Provisional","1"
"Draft","46"
"Total","226"
"Active","34"
"Accepted","22"
"Final","124"
"Provisional","1"
"Draft","46"
"Total","227"
"Active","34"
"Accepted","22"
"Final","125"
"Provisional","1"
"Draft","46"
"Total","228"
"Active","34"
"Accepted","22"
"Final","126"
"Provisional","1"
"Draft","46"
"Total","229"
"Active","34"
"Accepted","22"
"Final","127"
"Provisional","1"
"Draft","46"
"Total","230"
"Active","34"
"Accepted","22"
"Final","128"
"Provisional","1"
"Draft","46"
"Total","231"
"Active","34"
"Accepted","22"
"Final","129"
"Provisional","1"
"Draft","46"
"Total","232"
"Active","34"
"Accepted","22"
"Final","130"
"Provisional","1"
"Draft","46"
"Total","233"
"Active","34"
"Accepted","22"
"Final","131"
"Provisional","1"
"Draft","46"
"Total","234"
"Active","34"
"Accepted","22"
"Final","132"
"Provisional","1"
"Draft","46"
"Total","235"
"Active","34"
"Accepted","22"
"Final","133"
"Provisional","1"
"Draft","46"
"Total","236"
"Active","34"
"Accepted","22"
"Final","134"
"Provisional","1"
"Draft","46"
"Total","237"
"Active","34"
"Accepted","22"
"Final","135"
"Provisional","1"
"Draft","46"
"Total","238"
"Active","34"
"Accepted","22"
"Final","136"
"Provisional","1"
"Draft","46"
"Total","239"
"Active","34"
"Accepted","22"
"Final","137"
"Provisional","1"
"Draft","46"
"Total","240"
"Active","34"
"Accepted","22"
"Final","138"
"Provisional","1"
"Draft","46"
"Total","241"
"Active","34"
"Accepted","22"
"Final","139"
"Provisional","1"
"Draft","46"
"Total","242"
"Active","34"
"Accepted","22"
"Final","140"
"Provisional","1"
"Draft","46"
"Total","243"
"Active","34"
"Accepted","22"
"Final","141"
"Provisional","1"
"Draft","46"
"Total","244"
"Active","34"
"Accepted","22"
"Final","142"
"Provisional","1"
"Draft","46"
"Total","245"
"Active","34"
"Accepted","22"
"Final","143"
"Provisional","1"
"Draft","46"
"Total","246"
"Active","34"
"Accepted","22"
"Final","144"
"Provisional","1"
"Draft","46"
"Total","247"
"Active","34"
"Accepted","22"
"Final","145"
"Provisional","1"
"Draft","46"
"Total","248"
"Active","34"
"Accepted","22"
"Final","146"
"Provisional","1"
"Draft","46"
"Total","249"
"Active","34"
"Accepted","22"
"Final","147"
"Provisional","1"
"Draft","46"
"Total","250"
"Active","34"
"Accepted","22"
"Final","148"
"Provisional","1"
"Draft","46"
"Total","251"
"Active","34"
"Accepted","22"
"Final","149"
"Provisional","1"
"Draft","46"
"Total","252"
"Active","34"
"Accepted","22"
"Final","150"
"Provisional","1"
"Draft","46"
"Total","253"
"Active","34"
"Accepted","22"
"Final","151"
"Provisional","1"
"Draft","46"
"Total","254"
"Active","34"
"Accepted","22"
"Final","152"
"Provisional","1"
"Draft","46"
"Total","255"
"Active","34"
"Accepted","22"
"Final","153"
"Provisional","1"
"Draft","46"
"Total","256"
"Active","34"
"Accepted","22"
"Final","154"
"Provisional","1"
"Draft","46"
"Total","257"
"Active","34"
"Accepted","22"
"Final","155"
"Provisional","1"
"Draft","46"
"Total","258"
"Active","34"
"Accepted","22"
"Final","156"
"Provisional","1"
"Draft","46"
"Total","259"
"Active","34"
"Accepted","22"
"Final","157"
"Provisional","1"
"Draft","46"
"Total","260"
"Active","34"
"Accepted","22"
"Final","158"
"Provisional","1"
"Draft","46"
"Total","261"
"Active","34"
"Accepted","22"
"Final","159"
"Provisional","1"
"Draft","46"
"Total","262"
"Active","34"
"Accepted","22"
"Final","160"
"Provisional","1"
"Draft","46"
"Total","263"
"Active","34"
"Accepted","22"
"Final","161"
"Provisional","1"
"Draft","46"
"Total","264"
"Active","34"
"Accepted","22"
"Final","162"
"Provisional","1"
"Draft","46"
"Total","265"
"Active","34"
"Accepted","22"
"Final","163"
"Provisional","1"
"Draft","46"
"Total","266"
"Active","34"
"Accepted","22"
"Final","164"
"Provisional","1"
"Draft","46"
"Total","267"
"Active","34"
"Accepted","22"
"Final","165"
"Provisional","1"
"Draft","46"
"Total","268"
"Active","34"
"Accepted","22"
"Final","166"
